SampleID	AnimalID	Park	sex	year	date	season	d13C	d15N	age	derived age	Latitude	Longitude	CubNo	CubAge	GrossBodyMasslbs	MetaBodyMass75kg	BIA	Body Fat (%)	NetBodyMasskgs	Lean Mass (kg)	Fat Mass (kg)	proportion_plant	proportion_salmon	proportion_terrestrial	percent_meat_combined
K16A1	K16	KATM	F	2016	5/22/2016	Spring	-21.31	7.45	4	4	58.5764	153.8882	0		198	28.5	101	11.4	87.3	77.3	9.9				
K16A2	K16	KATM	F	2016	7/8/2016	Summer			4-5	4			0		228	31.8	87	3.6	100.8	97.1	3.7				
K16A3	K16	KATM	F	2016	10/5/2016	Fall	-21.62	7.34	6-7	6	58.603	153.994	0		320	41.2	121	32.3	142.4	96.4	46.1				
K36	K36	KATM	M	2016	5/22/2016	Spring	-19.19	7.81	8-10	9	58.8409	153.3025	0		NA	NA	NA	NA	NA	NA	NA				
K37	K37	KATM	F	2017	7/7/2017	Summer	-19.41	10.18	15-18	17	58.5765	153.885	3	3	401	48.9	82	22.2	179	139.2	39.8				
K46	K46	KATM	F	2017	7/6/2017	Summer	-19.53	8.53	16-18	17	58.8578	153.3601	0		492	57.2	62	17	220.2	182.7	37.5				
K47	K47	KATM	M	2017	5/20/2017	Spring	-20.6	10	4-5	4	58.6508	153.5921	0		NA	NA	NA	NA	NA	NA	NA				
K55	K55	KATM	F	2016	5/26/2016	Spring	-20.54	7.36	17-19	18	58.64441	153.8492	0		337	42.9	88	16.9	150.1	124.8	25.3				
K56A1	K56	KATM	F	2016	5/23/2016	Spring	-19.96	8.86	16-18	17	58.5615	153.9034	0		442	52.7	92	24.6	197.6	149	48.5				
K56A2	K56	KATM	F	2016	7/7/2016	Summer			14-16	15	58.6127	153.7472	0		493	57.2	75	18.4	220.6	179.9	40.7				
K56A3	K56	KATM	F	2016	10/4/2016	Fall	-20.05	9.38	15-17	16	58.6613	153.895	0		675	72.6	93	37.3	302.9	190	112.9				
K57B1	K57	KATM	F	2017	5/22/2017	Spring	-22.5	5.89	4-6	5	58.6375	153.6223	0		264	35.6	89	17.5	117.1	96.6	20.5				
K57B2	K57	KATM	F	2017	7/6/2017	Summer			4-5	5	58.6167	153.725	0		362	45.3	69	6.8	161.4	150.4	11				
K57B3	K57	KATM	F	2017	10/3/2017	Fall	-21.93	6.26	4-5	5	58.647	153.6655	0		376	46.6	88	20.7	167.7	133	34.7				
K66	K66	KATM	F	2016	5/23/2016	Spring	-21.06	6.37	12	12	58.7121	153.5278	0		280	37.2	80	8.5	124.3	113.7	10.6				
K67	K67	KATM	F	2016	7/6/2017	Summer			17-22	19	58.8194	153.4233	2	1	380	47	66	5.1	169.5	161	8.6				
K76A1	K76	KATM	F	2016	5/23/2016	Spring	-19.71	9.72	12-14	13	58.5206	153.9263	3	1	354	44.5	84	14.7	157.8	134.6	23.2				
K76A2	K76	KATM	F	2016	7/7/2016	Summer			11-13	12	58.51311	153.93344	3	1	381	47.1	78	14.9	170	144.6	25.3				
K76A3	K76	KATM	F	2016	10/5/2016	Fall	-18.87	9.72	13	13	58.882	153.066	3	1	479	56	110	39	214.3	130.8	83.5				
K76B1	K76	KATM	F	2017	5/19/2017	Spring	-19	10.7	10-14	12	58.5263	153.9288	3	2	330	42.2	79	7.9	146.9	135.4	11.5				
K76B2	K76	KATM	F	2017	7/7/2017	Summer			10-14	12	58.512	153.938	2	2	422	50.9	76	21.7	188.5	147.7	40.8				
K86	K86	KATM	F	2016	5/26/2016	Spring	-21.16	7.28	20	20	58.6093	153.7636	2	2	386	47.5	73	15.1	172.2	146.3	25.9				
K87B1	K87	KATM	F	2017	7/6/2017	Summer			5	5	58.8518	153.2888	0		270	36.2	90	18.7	119.8	97.4	22.4				
K87B2	K87	KATM	F	2017	10/3/2017	Fall	-21.1	6.8	6-8	7	58.8935	153.3439	0		346	43.7	94	25.1	154.2	115.5	38.7				
K95A1	K95	KATM	F	2016	5/22/2016	Spring	-22.65	4.24	18-20	19	58.6252	153.7389	3	2	414	50.1	NA	NA	184.8	NA	NA				
K95A2	K95	KATM	F	2016	7/8/2016	Summer			20-22	21			0	 	452	53.6	59	3	202.1	198.6	3.5				
K96	K96	KATM	F	2016	5/26/2016	Spring	-23.08	3.69	15-17	16	58.8399	153.3555	0	 	497	57.6	78	22.5	222.4	172	50				
K97B1	K97	KATM	F	2017	5/24/2017	Spring			4-6	5	58.612	153.7434	0		271	36.3	80	8.6	120.3	109.9	10.4				
K97B2	K97	KATM	F	2017	7/6/2017	Summer			5	5	58.6167	153.725	0		377	46.7	82	20.6	168.2	133.5	34.7				
K97B3	K97	KATM	F	2017	10/3/2017	Fall	-23.15	4.66	6-7	6	58.6336	153.6224	0		386	47.5	103	31.7	172.2	117.7	54.6				
K106	K106	KATM	F	2016	5/26/2016	Spring	-19.44	10.04	13-15	14	58.8514	153.4334	1	2	405	49.3	77	14.8	180.8	154.1	26.7				
K116	K116	KATM	F	2016	7/8/2016	Summer	-20.76	6.34	18-20	19	58.85667	153.349	2	2	326	41.8	80	12	145.1	127.7	17.4				
K117	K117	KATM	F	2017	7/8/2017	Summer			16-18	17	58.6229	153.7305	2	2	354	44.5	80	9.2	157.8	143.2	14.5				
